1,3,1,80,30,0.06426064258907115,0.003030367663117509,0.08398766583214957,0.09364599737592777,0.4722136542873201,0.2796199184474848,1,1,0.01064454886724311,0.0,0.0
2,140,235,530,34,0.00815818649837666,0.00033696549010832697,0.02387799538320693,0.051584533002178114,0.7422535820575953,0.5948213060996469,8,17,0.054805851994153894,0.05284904932975769,-0.030378928780555724
3,20,2,2,5,0.012666628845814347,2.1972562205520527e-05,0.04438498663508381,0.05281939221429183,0.13807821946261445,0.5629701092064961,20,15,0.047156384563024685,0.047511194705963135,-0.0005973726026713848
4,6,11,413,13,0.002800661613777816,0.008067086086872696,0.01615527618312128,0.0323807426261527,0.5418509132396254,0.8449369006039084,8,56,0.20516971468886225,0.25662980365753174,-0.78551833152771
5,144,1,63,1,3.667398901031492e-05,5.3936276150914215e-05,0.04665192105748681,0.0949120232901202,0.931674516258473,0.22186465416235845,9,109,0.31338402769784734,0.4867504243850708,-0.0018912625908851623
6,1,11,505,2,3.458474423748308e-05,1.0109570494922715e-05,0.01897350338739806,0.03620945288135955,0.22033864280447057,0.5073609177520056,2,32,0.08575345391173006,0.10366763591766358,-4.12818516488187e-05
7,395,426,14,64,0.0019624936837245844,0.005142324408461796,0.044124285006083765,0.048273085531358145,0.7412576310411726,0.6614850891608371,19,66,0.58414464095001,0.2512655971050263,-0.8811245355606079
8,316,188,65,4,0.0041680848329575726,0.01745314383954528,0.05960861749001382,0.09836962125728088,0.5962021431631188,0.8774228102642195,6,10,0.06724360928277105,0.11290415477752686,-0.12060908508300781
9,224,307,2,1,0.0017835151692702782,0.0062708088402235245,0.09981965500172013,0.02779256033973997,0.33884518179310463,0.8881134760937651,1,1,0.014710081309668492,0.0,0.0
10,6,11,413,13,0.002800661613777816,0.008067086086872696,0.01615527618312128,0.0323807426261527,0.5418509132396254,0.8449369006039084,8,56,0.23713452581169117,0.2667533166408539,-0.7745774383544922
11,144,1,63,1,3.667398901031492e-05,5.3936276150914215e-05,0.04665192105748681,0.0949120232901202,0.931674516258473,0.22186465416235845,9,109,0.3922564103478535,0.374775369644165,-0.04984496620297432
12,395,426,14,64,0.0019624936837245844,0.005142324408461796,0.044124285006083765,0.048273085531358145,0.7412576310411726,0.6614850891608371,19,66,0.3008945210285281,0.2019645048379898,-0.5624472060203553
